capability,decision,current_owner,target_owner,checkpoint,status,verification,notes
Torrent file ingestion,migrated,"native bencode and BT request-group creation","libtorrent-backed request-group creation",BTM-003,verified,"`build/libtorrent-positive/aria2_tests` passed with torrent file and RPC addTorrent request groups carrying `CTX_ATTR_LIBTORRENT`, not `CTX_ATTR_BT`.","Runtime add_torrent handoff starts in BTM-004."
Magnet ingestion,migrated,"native magnet metadata mode and ut_metadata flow","libtorrent magnet add_torrent flow",BTM-003,verified,"`build/libtorrent-positive/aria2_tests` passed with magnet request groups carrying `CTX_ATTR_LIBTORRENT`, not `CTX_ATTR_BT`.","Native metadata post-handler tests are removed from the active test target."
Peer wire protocol,migrated,"native PeerInteractionCommand and BtMessage graph","libtorrent peer engine",BTM-004,verified,"`testCreateInitialCommandUsesLibtorrentRuntime` proves libtorrent-backed groups bypass the native command graph; `testLibtorrentCommandLoadsTorrentMetadata` proves runtime add_torrent handoff starts through libtorrent.","Remove native peer message classes in BTM-008 after public status and control mappings are complete."
Tracker client,migrated,"DefaultBtAnnounce and tracker commands","libtorrent tracker handling",BTM-004,verified,"`LibtorrentCommand` creates libtorrent `add_torrent_params`; tracker ownership is now inside the libtorrent handle for migrated request groups.","Remove native HTTP and UDP tracker command ownership in BTM-008."
DHT,migrated,"native DHT registry command graph","libtorrent DHT",BTM-004,verified,"`LibtorrentSession` enables libtorrent DHT from aria2 options and migrated groups do not schedule native DHT commands.","Remove native BT DHT code unless a helper is shared by non-BT code."
PEX and LSD,migrated,"native PEX and LPD command paths","libtorrent extensions",BTM-004,verified,"`LibtorrentSession` enables libtorrent LSD from aria2 options and default libtorrent plugins own metadata and PEX.","Remove native PEX and LPD dispatch code."
uTP,added,"not available in native BT","libtorrent transport",BTM-004,verified,"`LibtorrentSession` enables incoming and outgoing uTP through libtorrent settings.","Expose only when libtorrent build supports it."
Piece picker,migrated,"DefaultPieceStorage rarest-first path for BT","libtorrent picker",BTM-005,planned,"Tail completion smoke","Shared PieceStorage remains for non-BT only."
Endgame and duplicate block policy,migrated,"DefaultBtRequestFactory endgame path","libtorrent endgame",BTM-005,planned,"Tail completion smoke","No native endgame fallback remains."
BitTorrent progress truth,migrated,"RequestGroup completedLength via native PieceStorage","libtorrent verified status mapping",BTM-005,planned,"Focused status mapping tests","User-facing received progress may be separate from verified completion."
Fast resume,migrated,"DefaultBtProgressInfoFile and native in-flight pieces","libtorrent resume data",BTM-006,planned,"Interrupt and restart smoke","Remove native BT control-file in-flight piece format after migration."
File selection,migrated,"DownloadContext file filter plus native BT piece filtering","libtorrent file priorities",BTM-007,verified,"`testCreateRequestGroupForUri_LibtorrentTorrentSelectFile`, `testChangeOptionLibtorrentSelectFile`, and full `aria2_tests` passed after select-file mapping to libtorrent file priorities.","Preserve CLI and RPC semantics."
Speed and seed limits,migrated,"native BtRuntime and seed criteria","libtorrent settings and torrent_handle limits",BTM-007,verified,"`testLibtorrentSessionTracksActiveTorrent`, `testChangeOption`, `testStopsWhenSeedTimeElapsed`, `testStopsWhenShareRatioReached`, `testKeepsSeedingWhenRatioDisabled`, `testLibtorrentAllDownloadFinishedUsesSeedingStatus`, and full `aria2_tests` passed after limit and seed-policy mapping.","Per-download limits, default ratio policy, unlimited ratio policy, explicit seed-time policy, and selected-file completion semantics are mapped."
RPC status fields,shared,"aria2 RPC methods","aria2 RPC mapped from libtorrent",BTM-005,planned,"Focused RPC mapping tests","Keep public RPC names when semantics remain valid."
Native BT CLI options,removed,"OptionHandlerFactory usage text manual completion","removed or explicit error",BTM-008,planned,"Option parser and completion checks","Do not preserve obsolete hidden fallback options."
Native BT tests,removed,"tests covering removed native internals","deleted or replaced by high-value boundary tests",BTM-008,active,"BTM-003 removed obsolete request creation assertions and removed native metadata post-handler tests from the active test target; broader native BT test cleanup remains.","Keep only tests that protect public behavior or shared code."
HTTP FTP SFTP stall watchdog,shared,"native non-BT command path","native non-BT command path",BTM-009,planned,"Focused timeout tests","This is separate from libtorrent migration."
Packaging dependency closure,migrated,"no libtorrent release dependency","release packaging with libtorrent dependency closure",BTM-010,planned,"Release-path dependency checks","Static release impact must be recorded before publishing."
