id,status,domain,checkpoint,tracker,acceptance_summary,verification_summary,next_action
BTM-001,active,foundation,Tracker activation and migration contract,checkpoints/BTM-001-foundation.csv,"The tracker exists, the maintenance index points to it, source and dependency facts are recorded, and the final goal contract rejects a native BitTorrent fallback.",Documentation-only setup; verify with git diff --check docs/maintenance and CSV parsing.,Start BTM-002 dependency and build integration.
BTM-002,verified,build,Libtorrent dependency and CMake baseline,checkpoints/BTM-002-build.csv,"CMake detects libtorrent-rasterbar, exposes the required compile definitions, links the target, and records C++ standard and release dependency boundaries.","Missing-dependency gate, positive libtorrent configure, C++14 boundary, Boost header requirement, and test target link are verified locally.",Start BTM-003 torrent and magnet ingress.
BTM-003,verified,ingress,Torrent and magnet request routing,checkpoints/BTM-003-ingress.csv,"Torrent files and magnet links create libtorrent-backed request groups, while non-BitTorrent handlers keep existing behavior.","`build/libtorrent-positive/aria2_tests` passed with `OK (1136)` after torrent, magnet, and RPC ingress moved to `CTX_ATTR_LIBTORRENT`.",Start BTM-004 runtime integration.
BTM-004,verified,runtime,Libtorrent session and event bridge,checkpoints/BTM-004-runtime.csv,"A single libtorrent session owner drives torrent handles, alert polling, lifecycle transitions, and engine wakeups without the native BitTorrent command graph.",`cmake --build build/libtorrent-positive --target aria2_tests -- -j2` succeeded; `build/libtorrent-positive/aria2_tests` passed with `OK (1138)`.,Start BTM-005 RPC console and verified progress mapping.
BTM-005,verified,status-progress,RPC console and 99 percent completion truth,checkpoints/BTM-005-status-progress.csv,"RPC, console, result state, control-file cleanup, and completion decisions use verified libtorrent state and cannot report false BitTorrent completion from in-flight bytes.","Verified by focused status mapping tests, false-completion test, and Debian public tail-completion smoke.",BTM-006 completed.
BTM-006,verified,persistence,Resume data metadata and restart behavior,checkpoints/BTM-006-persistence.csv,"Libtorrent resume data and metadata are saved and restored through aria2-next session ownership, and restart does not depend on stale native BT in-flight state.",Verified by libtorrent resume round-trip test and interrupt/restart public smoke; native BT persistence cleanup completed in BTM-008.,BTM-007 completed.
BTM-007,verified,controls,Pause resume remove limits and file selection,checkpoints/BTM-007-controls.csv,"RPC and CLI controls map to libtorrent for pause, resume, remove, file priority, speed limits, seed limits, and error reporting.","Verified by limit, file-priority, RPC, and seed-policy focused tests.",BTM-008 completed.
BTM-008,verified,native-cleanup,Remove obsolete native BitTorrent engine,checkpoints/BTM-008-native-cleanup.csv,"Native BT scheduler, peer protocol, DHT, tracker, PEX, LPD, endgame, resume, stale options, stale docs, and stale tests are removed unless explicitly shared outside BT.",`cmake --build build/libtorrent-positive --target aria2-next aria2_tests -- -j2` succeeded; `build/libtorrent-positive/aria2_tests` passed with `OK (819)`; residue and removed-option scans passed.,Start BTM-009 non-BitTorrent stall watchdog.
BTM-009,pending,non-bt-stall,Native HTTP FTP SFTP stall watchdog,checkpoints/BTM-009-non-bt-stall.csv,The separate non-BitTorrent 0B or 99 percent stall path has a focused watchdog that does not depend on libtorrent.,Focused native download timeout tests pass.,Start BTM-010 docs and packaging.
BTM-010,pending,docs-packaging,Docs completion packaging and release path,checkpoints/BTM-010-docs-packaging.csv,"Manual, completion, packaging docs, dependency records, release checks, and capability claims describe libtorrent as the only BT backend.","Documentation checks, shell syntax checks, and build metadata checks pass.",Start BTM-011 final validation.
BTM-011,pending,validation,Final local and public smoke validation,checkpoints/BTM-011-validation.csv,"Local build, tests, version command, and sequential public BitTorrent smoke comparisons pass with artifacts under /Users/sekiro/Desktop/aria2-next-current.",cmake --preset default; cmake --build --preset default; ctest --preset default; build/default/aria2-next --version; public smoke evidence recorded compactly.,Migration complete.
