id,status,domain,checkpoint,tracker,acceptance_summary,verification_summary,next_action
CM-001,verified,foundation,Tracker activation and modernization contract,checkpoints/CM-001-foundation.csv,"The tracker exists, docs/maintenance/README.md points to it, current source and dependency baselines are recorded, and the final goal contract rejects compatibility fallback backends.","Tracker files are present; docs/maintenance/README.md points to them; CSV parser check passed for 22 files; git diff --check passed.",Start CM-002 dependency policy.
CM-002,verified,dependencies,Dependency policy and target library decisions,checkpoints/CM-002-dependency-policy.csv,"Target libraries, removed libraries, retained native domains, version sources, and packaging ownership are recorded before code migration begins.","CM-002 checkpoint rows are verified. dependency-ledger.csv records selected target libraries, selected removal candidates, conditional/deferred dependencies, and packaging ownership. capability-ledger.csv and overview.md agree on retained native ED2K and storage ownership. Current CMake, README, and packaging files still expose legacy dependencies; removal is explicitly deferred to implementation checkpoints CM-003 through CM-018.",Start CM-003 build baseline.
CM-003,verified,build,CMake and language baseline,checkpoints/CM-003-build-baseline.csv,"The build detects target dependencies, rejects unsupported combinations clearly, records the C++ standard boundary, and removes obsolete dependency switches when safe.","C++17 is the project baseline. CMake now requires libcurl, Boost.JSON, OpenSSL for SSL, zlib when enabled, and libtorrent-rasterbar for BitTorrent. aria2_core links the target dependency set. Obsolete WinTLS, GnuTLS, nettle, GMP, libgcrypt, and GnuTLS policy build switches and generated-config defines are removed from the build baseline. Configure and build passed; stale build-option scans passed.",Start CM-004 runtime foundation.
CM-004,pending,runtime,Boost.Asio runtime foundation,checkpoints/CM-004-runtime-foundation.csv,"A Boost.Asio-owned runtime boundary exists for timers, wakeups, signal handling, shutdown, and library event integration without changing protocol behavior yet.","Pending.",Start after CM-003.
CM-005,pending,transfer,libcurl transfer foundation,checkpoints/CM-005-libcurl-transfer-foundation.csv,"libcurl multi-socket integration can drive at least one ranged HTTP/HTTPS transfer through aria2-next request, storage, progress, and error boundaries.","Pending.",Start after CM-004.
CM-006,pending,http,HTTP and HTTPS feature migration,checkpoints/CM-006-http-feature-parity.csv,"HTTP/HTTPS redirects, headers, auth, proxying, resume, range requests, decoding, timeout, and completion use libcurl, and native HTTP client code is removed.","Pending.",Start after CM-005.
CM-007,pending,ftp-sftp,FTP FTPS SFTP and SCP migration,checkpoints/CM-007-ftp-sftp-migration.csv,"FTP, FTPS, SFTP, and SCP downloads use libcurl, and native FTP/SFTP/libssh2 command ownership is removed.","Pending.",Start after CM-006.
CM-008,pending,auth-proxy-cookie,Cookie auth proxy and netrc cleanup,checkpoints/CM-008-cookie-auth-proxy-cleanup.csv,"Cookie, auth, netrc, proxy, and browser-cookie behavior is either mapped to libcurl or pruned, and obsolete native parsers are removed.","Pending.",Start after CM-007.
CM-009,pending,rpc,Boost.Beast JSON-RPC HTTP server,checkpoints/CM-009-rpc-beast-server.csv,"JSON-RPC over HTTP uses Boost.Beast transport while existing supported RPC method semantics remain stable, and native HTTP server framing is removed.","Pending.",Start after CM-008.
CM-010,pending,websocket,Boost.Beast WebSocket transport,checkpoints/CM-010-websocket-beast.csv,"WebSocket RPC and notifications use Boost.Beast, authorization boundaries remain correct, and wslay/native WebSocket code is removed.","Pending.",Start after CM-009.
CM-011,pending,json,Boost.JSON migration,checkpoints/CM-011-json-boost.csv,"Supported JSON parsing and serialization use Boost.JSON, and custom JSON parser/writer code is removed or reduced to a non-JSON variant boundary.","Pending.",Start after CM-010.
CM-012,pending,xml-metalink,XML-RPC removal and Metalink decision,checkpoints/CM-012-xml-metalink.csv,"XML-RPC is removed, Metalink is either pruned or reduced to a pugixml-backed Metalink4 path, and obsolete XML parser ownership is removed.","Pending.",Start after CM-011.
CM-013,pending,crypto-tls,OpenSSL-only TLS and crypto cleanup,checkpoints/CM-013-crypto-tls-cleanup.csv,"OpenSSL owns TLS and supported crypto, stale GnuTLS/nettle/libgcrypt/GMP/WinTLS/internal fallback ownership is removed, and ED2K hash needs are explicitly retained or mapped.","Pending.",Start after CM-012.
CM-014,pending,storage,Modern storage and completion truth,checkpoints/CM-014-storage-engine.csv,"Storage exposes verified progress, in-flight progress, flush, resume, hash, and control-file cleanup semantics that prevent 99 percent false completion.","Pending.",Start after CM-013.
CM-015,pending,ed2k,ED2K bridge onto modern boundaries,checkpoints/CM-015-ed2k-runtime-bridge.csv,"Native ED2K protocol logic remains supported while shared runtime, crypto, compression, storage, and status integration move off obsolete infrastructure where practical.","Pending.",Start after CM-014.
CM-016,pending,bittorrent,Libtorrent boundary residue review,checkpoints/CM-016-libtorrent-boundary-review.csv,"BitTorrent remains libtorrent-only, and leftover native torrent/magnet/bencode helpers are removed unless they protect current ingress or metadata behavior.","Pending.",Start after CM-015.
CM-017,pending,docs-options,Option docs and compatibility claim pruning,checkpoints/CM-017-option-doc-pruning.csv,"Help output, manual, completion, README, API option docs, and stale compatibility claims match the modern supported surface.","Pending.",Start after CM-016.
CM-018,pending,packaging,Packaging and release dependency closure,checkpoints/CM-018-packaging-release-closure.csv,"Release scripts, Dockerfiles, workflow files, dependency records, static closure checks, and runtime dependency scans match the modern dependency set.","Pending.",Start after CM-017.
CM-019,pending,validation,Final local and smoke validation,checkpoints/CM-019-final-validation.csv,"Default configure, build, CTest, version, stale scans, packaging checks, and legal public smoke evidence pass; all tracker checkpoints are verified.","Pending.",Modernization complete.
