number,priority,module,title,state,root_cause_group,required_action,evidence
1344,P1,dns-ipv6,Getting several errorCode=8 Invalid range header results,fixed-verified,http-content-range-tolerance,fixed-verified,"Fixed HTTP Content-Range validation to accept explicit ranged responses whose start byte matches the requested segment, whose response end byte covers the requested end byte, and whose entity length is not smaller than the known file length. This preserves rejection for shifted starts, missing entity length, shorter entity length, and open-ended Range responses with mismatched totals. Regression coverage added in tests/HttpRequestTest.cc. Verification: make -C src libaria2.la && make -C tests HttpRequestTest.o aria2c && cd tests && ./aria2c => OK (994)."
441,P1,rpc-websocket,Aria2 sometimes hangs during downloading several files,needs-architecture/no-code,single-thread-global-rate-limit-and-io-pressure,no-code,"The hang reports cluster around max-overall-download-limit, large simultaneous downloads, TLS/disk-cache activity, and a single event-loop architecture. Comments identify the global rate limiter as the trigger and users avoid the issue by disabling max-overall-download-limit. Current source performs command execution, throttling, disk writes, TLS reads, and RPC handling on the same DownloadEngine loop. A safe fix would require a designed scheduler/async I/O change, not a small isolated patch from the retained evidence."
690,P1,bittorrent-dht,aria2c totally freezes for seconds,needs-architecture/no-code,single-thread-high-speed-bt-io-pressure,no-code,The high-speed BitTorrent freeze reproductions show multi-second log gaps at 500 Mbps with many peers and large torrents. Follow-up evidence points to filesystem/kernel page cache pressure and single-thread disk/network scheduling rather than a pinpointed function bug; BTRFS rebalance reduced stalls. Current source still uses synchronous disk writes and cache flushes inside the main command loop. No minimal source defect is isolated beyond the contiguous write coalescing fixed for #2116.
708,P1,filesystem-session,aria2c crashed with no apparent reason,already-fixed,crash-with-insufficient-repro,no-code,"Windows crash logs from 1.25.0 had no usable stack, but maintainer isolated the last activity around DHT periodicTaskQueue2 and later cited commit 8cdcb71308b79719d5834b485392558d7cdfab77 as a possible fix. That commit is present in this fork, and the reporter could no longer reproduce on later 1.27.1/debug builds. No current reproducible crash remains."
1476,P1,filesystem-session,Segv in v1.35.0 test suite,not-reproducible/no-code,old-toolchain-tests-crash,no-code,"Historical v1.35.0 test-suite segfault in GCC 9/cppunit environments. The supplied backtrace reaches FileEntryTest::testExtractURIResult through FileEntry::extractURIResult, but the current focused FileEntryTest coverage exercises the same behavior and the current local test binary does not reproduce the memory crash. The reporter later noted it stopped segfaulting, so this remains an old toolchain/runtime interaction without a confirmed current source defect."
925,P1,dns-ipv6,Aria2 can not continue bittorrent download after the restart,config-or-documented-behavior,path-session-option-semantics,config-or-documented-behavior,Behavior matches existing option semantics or needs docs unless current code violates documented behavior; verify with focused tests before changing.
1801,P1,tls-cert,Windows error with https only,platform-or-config,wintls-schannel-policy,platform-or-config,"Schannel revocation, cipher, and protocol policy depend on OS capabilities; likely needs backend documentation or optional policy knobs, not a generic aria2 core fix."
542,P1,bittorrent-dht,Aria2 freezes in some torrents in OpenWrt,environment-or-io-bound/no-code,embedded-storage-sync-io-pressure,no-code,"OpenWrt freeze reports show process state D on low-power router hardware and USB/exFAT/ext storage. Maintainer explained aria2 does not use asynchronous disk writes and BitTorrent causes random I/O; later users reported newer OpenWrt/aria2 builds improved behavior. This is an embedded storage and synchronous I/O capacity issue, not a current isolated bug with a small source fix."
1391,P1,dns-ipv6,"bt,magnet can not work",not-reproducible/no-code,bt-swarm-or-rpc-input-specific,no-code,"Mixed BitTorrent and magnet reports do not provide a stable current torrent fixture. Comments show at least one provided torrent was downloadable by aria2 from source, but slow; a later report is RPC-specific and uses a magnet with urn:sha1 rather than a BitTorrent btih info hash, which current parseMagnet correctly rejects. No shared current source defect is confirmed."
1027,P1,http-range-retry,"""header"" not works in this download link",site-or-usage,remote-site-or-option-usage,site-or-usage,"Report is site-specific, auth/cookie/header usage, or TLS backend selection; reproduce current URL before any code change."
1932,P1,dns-ipv6,"Download fails with HTTP 403, but other applications succeed",site-or-usage,remote-site-or-option-usage,site-or-usage,"Report is site-specific, auth/cookie/header usage, or TLS backend selection; reproduce current URL before any code change."
667,P1,bittorrent-dht,aria2 will freeze for a while when the download speed more than 600KB per second,environment-or-io-bound/no-code,embedded-storage-sync-io-pressure,no-code,"The OpenWrt router report shows process state D, high I/O wait, FAT/NTFS USB storage, disk-cache=0, many trackers, and constrained memory. Maintainer advised faster storage, disk-cache=0 for memory pressure, and jemalloc for heap fragmentation. The retained evidence does not identify a current source leak or deadlock; it is resource exhaustion on embedded storage."
2275,P1,dns-ipv6,aria2 does not escape `#` in URL,environment-or-network/no-code,url-fragment-shell-wrapper,no-code,"The reported URL fragment handling does not reproduce in the issue comments: official Windows builds and Scoop downloaded the same URL successfully without escaping #. Later evidence showed the failing machine selected an unreachable IPv6 path, and curl --ipv6 failed as well. Current source treats # as part of the HTTP request target path only after URI parsing; no source defect is confirmed."
1362,P1,tls-cert,80092013,platform-or-config,wintls-schannel-policy,platform-or-config,"Schannel revocation, cipher, and protocol policy depend on OS capabilities; likely needs backend documentation or optional policy knobs, not a generic aria2 core fix."
2277,P1,dns-ipv6,aria2 TLS 1.3 handshake issue on macOS,platform-limited/no-code,tls13-backend-capability,no-code,"AppleTLS issue is backend capability, not generic aria2 TLS selection. The report uses Apple SecureTransport, and the code path in src/AppleTLSSession.cc uses SSLSetProtocolVersionMin/SSLSetEnabledCiphers from SecureTransport. Apple has deprecated SecureTransport and its documented protocol support does not provide a reliable TLS 1.3 client path equivalent to modern Network.framework/OpenSSL. The practical fix is to build macOS TLS 1.3 support with OpenSSL/GnuTLS or replace the AppleTLS backend; that is a larger backend migration, not a small aria2 bug fix in this issue pass."
183,P1,bittorrent-dht,High CPU and frequent disconnects in Windows PE,environment-or-platform/no-code,winpe-hash-and-disk-spike,no-code,"Windows PE high CPU/disconnect report is historical and platform-specific. Maintainer observed CPU spikes around disk I/O, but the log still showed download progress and Windows outside PE could reach 50 MB/s. The reporter later changed seeding clients and did not provide a current reproducible trace. No current source defect is confirmed."
1418,P1,dns-ipv6,Could not connect to the aria2 RPC server,environment-or-network,rpc-or-lan-networking,environment-or-network,LAN/RPC connectivity reports are mostly firewall/proxy/listen-host/network environment unless source evidence says otherwise.
1547,P1,dns-ipv6,Exception (SocketCore.cc) Error in the pull function,fixed-verified,client-tls-handshake-retry,fixed-verified,Fixed the client TLS failure classification shared with #1399. HTTPS handshake failures caused by peer resets or TLS pull errors now enter the normal retry path instead of aborting the whole download immediately. Regression coverage added in tests/SocketCoreTest.cc. Verification: make -C src SocketCore.lo libaria2.la && make -C tests SocketCoreTest.o aria2c && cd tests && ./aria2c SocketCoreTest::testClientTlsHandshakeRemoteCloseIsRetriable => OK (996).
304,P1,tls-cert,Aria2c daemon always at D state when downloading bittorrent files,environment-or-io-bound/no-code,bt-d-state-sync-io-pressure,no-code,"The Arch daemon D-state report used aggressive RPC polling, 128 concurrent downloads, split=32, max connections, force-sequential, and BitTorrent writes. D state means the process is blocked in a system call, and the issue only appeared while active downloading, not idle/seeding. This maps to synchronous filesystem I/O pressure and configuration scale; no current minimal source fix is isolated."
