id,status,checkpoint,scope,acceptance_criteria,verification,next_action
RF0,verified,Tracker activation,"Create the ED2K refactor tracker and mark the old ED2K tracker as historical.","The maintenance index points to ed2k-refactor as active. The old tracker is clearly superseded. The new tracker files define scope, audit rows, checkpoints, and progress format.","git diff --check docs/maintenance; CSV width check for checkpoints.csv and reference-audit.csv","Start RF1 live-failure baseline."
RF1,pending,Live failure baseline,"Reproduce the current ED2K public-download failure with a short controlled run and collect packet-level evidence outside the repository.","The tracker records the exact fixture, command shape, observed server state, source count, peer connection events, last successful packet, first failing packet, and whether the failure is local protocol behavior or external network state.","Short XP-link ED2K run around 30 seconds with debug logging stored outside the repository; concise evidence recorded in progress.md","Start RF2 authoritative reference audit."
RF2,pending,Authoritative reference audit,"Audit all meaningful ED2K/eMule subsystems in aMule, eMule 0.50a, MLDonkey, Wireshark, and protocol docs.","Every meaningful subsystem is classified as port, adapt, replace, or prune in reference-audit.csv. Every prune row has evidence, reason, and user-visible impact.","Focused rg/sed inspection of local references; git diff --check docs/maintenance/ed2k-refactor","Start RF3 server source compatibility."
RF3,pending,Server source compatibility,"Fix server TCP/UDP source discovery against authoritative wire formats, including OBFU source variants and callback behavior.","Server login, IDChange, HighID/LowID state, GetSources, GetSources OBFU, FoundSources, FoundSources OBFU, callback request, callback requested, callback fail, UDP global sources, and server-state persistence match the non-pruned reference behavior.","Focused parser/state tests plus a short live server-source run showing sources are parsed without unsupported-packet warnings","Start RF4 peer handshake and capability truth."
RF4,pending,Peer handshake and capability truth,"Make peer hello and eMule info advertise only implemented capabilities, then implement the required modern capability surfaces.","Hello, HelloAnswer, eMule info, misc options, misc options 2, large-file support, Unicode support, compression support, Source Exchange, AICH, multipacket, file identifiers, crypt, and secure-ident claims are truthful and safely handled.","Focused packet tests plus live peer handshake logs showing no misleading advertised capability causes immediate peer rejection","Start RF5 modern peer request flow."
RF5,pending,Modern peer request flow,"Implement the peer file request flow used by modern aMule/eMule peers.","Plain request filename, file status, hashset, start upload, queue rank, accept upload, OP_MULTIPACKET, OP_MULTIPACKET_EXT, OP_MULTIPACKET_EXT2, file identifier validation, source request, AICH request, and failure responses interoperate with authoritative reference behavior.","Focused request-flow tests plus live peer exchange evidence reaching queue, file status, hashset, or part-request state","Start RF6 transfer and integrity."
RF6,pending,Transfer and integrity,"Stabilize peer part transfer, compressed transfer, MD4, AICH, corrupt-piece retry, and disk writes through existing aria2-next paths.","Normal parts, 64-bit parts, compressed parts, range validation, MD4 part/root/final verification, AICH root/tree/recovery validation, corrupt data rejection, retry, and resume state work without bypassing PieceStorage or DiskAdaptor.","Focused transfer/integrity tests plus live evidence of nonzero data transfer on a known valid ED2K fixture","Start RF7 source policy."
RF7,pending,Source policy and retry behavior,"Make ED2K source scheduling match real network behavior without overloading normal aria2-next scheduling.","Server, OBFU, inline, Source Exchange, Kad, resume, HighID, LowID callback, queue rank, backoff, dead-source, duplicate-source, part availability, and endgame decisions are represented in focused ED2K policy state.","Focused source-policy tests and short live run showing peer retries and source selection progress without tight loops","Start RF8 Source Exchange."
RF8,pending,Source Exchange,"Implement and verify SX1 and SX2 including v4 source options and safe merge behavior.","SX1, SX2, SX2 v4 user hash, crypt options, source server metadata, direct callback flags where supported, deduplication, loopback filtering, self filtering, and backoff preservation match authoritative references.","Focused parser/merge tests plus live or simulated peer exchange evidence","Start RF9 Kad."
RF9,pending,Kad,"Rebuild Kad support from authoritative reference behavior rather than draft assumptions.","nodes.dat loading, bootstrap, hello, routing table maintenance, iterative traversal, source search, source publish, keyword search, firewalled checks, direct callback constraints, refresh, and durable routing state work or are explicitly pruned with evidence.","Focused Kad packet/state tests and local UDP simulation; live Kad evidence when available","Start RF10 sharing and upload."
RF10,pending,Sharing upload and credits,"Stabilize completed-file sharing, imported sharing, upload queue, queue ranks, slots, limits, statistics, and peer credits.","Completed downloads and imported shared files are hashable, indexable, persistent, and can answer filename, status, hashset, Source Exchange, AICH, and part requests through upload admission and credit accounting.","Focused shared-store/upload tests plus local incoming peer simulation","Start RF11 search RPC and Motrix integration."
RF11,pending,Search RPC and Motrix integration,"Expose ED2K server/Kad search and stable task status through existing CLI/RPC patterns.","Search results include stable hash, name, size, source counts, complete source counts, type, extension, metadata when present, source network, and generated ED2K link. tellStatus exposes accurate ED2K state without unsupported claims.","Focused RPC output checks and documentation review","Start RF12 documentation and final verification."
RF12,pending,Documentation and final verification,"Align manual, RPC docs, completion data, Motrix Next notes, and final verification with real behavior.","Documentation matches implemented support and limitations. Final configure, build, tests, version command, and live ED2K smoke evidence are recorded.","cmake --preset default; cmake --build --preset default; ctest --preset default; build/default/aria2-next --version; short live ED2K smoke check","Goal complete only when all checkpoints are verified."
