dependency,decision,reason,current_owner,target_owner,checkpoint,packaging_status,notes
libcurl,add,Mature maintained transfer library for HTTP HTTPS FTP FTPS SFTP SCP proxy auth cookies resume and multi-socket operation,required CMake dependency,ordinary URL transfer backend,CM-018,release-owned,"Primary replacement for native HTTP FTP and SFTP stacks. Release packaging builds curl 8.20.0 from source with OpenSSL, zlib, and libssh2 internal SSH support."
Boost.Asio,add,Existing Boost dependency can provide the single async runtime without adding libuv as a second runtime,Boost headers already required by libtorrent,application runtime,CM-004,selected,Use Boost.Asio directly instead of libuv; runtime integration starts in CM-004.
Boost.Beast,add,Boost-native HTTP and WebSocket transport built on Asio,JSON-RPC HTTP and WebSocket transport,JSON-RPC HTTP and WebSocket transport,CM-010,source-integrated,JSON-RPC HTTP transport was integrated in CM-009; WebSocket transport is integrated in CM-010.
Boost.JSON,add,Boost-native JSON parser and serializer with packaging alignment to the existing Boost baseline,JSON-RPC parser and serializer,JSON parser and serializer,CM-011,source-integrated,Replaced custom JSON parser/writer in CM-011.
pugixml,skip,Metalink is pruned instead of retained,not present,not used,CM-012,not-added,No XML parser fallback is introduced.
OpenSSL,retain-and-centralize,Already present and suitable as the single TLS and crypto backend,required CMake dependency,single TLS and crypto backend,CM-013,build-required,"OpenSSL is now required for TLS, message digests, and ED2K obfuscation. Competing TLS and crypto source backends are removed."
zlib,retain,Required for compression use that remains outside libcurl and dependency stacks,existing optional dependency,narrow compression dependency,CM-015,source-integrated,HTTP transfer decoding belongs to libcurl; zlib remains for ED2K compressed parts and packed packets plus existing RPC gzip behavior pending final option and packaging review.
libtorrent-rasterbar,retain,Already verified as the only BitTorrent backend,BitTorrent backend,BitTorrent backend,CM-016,selected,No native fallback.
Boost headers,retain,Required by libtorrent and target Boost components,packaging dependency,Boost component baseline,CM-002,selected,May move from headers-only packaging to broader Boost component packaging if needed.
libxml2,remove,Dual XML backend is unnecessary after XML-RPC and Metalink removal,optional XML backend,removed,CM-012,removed,"Source wrappers, CMake options, generated config defines, and feature reporting were removed."
Expat,remove,Dual XML backend is unnecessary after XML-RPC and Metalink removal,optional XML backend,removed,CM-012,removed,"Source wrappers, CMake options, generated config defines, packaging dependency versions, and release build steps were removed."
GnuTLS,remove,Multiple TLS backend support increases code and release complexity,source backend,removed,CM-013,removed,"Source files, docs, feature reporting, and packaging ownership are removed."
WinTLS,remove,Native Windows TLS backend duplicates OpenSSL/libcurl TLS ownership,source backend,removed,CM-013,removed,"Source files, docs, feature reporting, and packaging ownership are removed."
nettle,remove,Digest and crypto fallback is obsolete under OpenSSL-only policy,source backend,removed,CM-013,removed,Source files and build ownership are removed.
libgcrypt,remove,Digest and crypto fallback is obsolete under OpenSSL-only policy,source backend,removed,CM-013,removed,"Source files, lifecycle hooks, dependency baseline entries, and packaging ownership are removed."
GMP,remove,Old BitTorrent-era bignum ownership is obsolete after libtorrent migration,source backend,removed,CM-013,removed,"Source files, lifecycle hooks, dependency baseline entries, and packaging ownership are removed."
libssh2,remove-direct-use,"SFTP/SCP should be owned through libcurl, not direct command code",direct SFTP backend,libcurl internal dependency,CM-018,libcurl-internal,"Direct libssh2 source, build option, feature reporting, SocketCore hooks, and Platform lifecycle are removed. Release packaging builds libssh2 only as libcurl input for SFTP/SCP support."
c-ares,remove,Asynchronous DNS support is no longer a supported release feature and the runtime resolver switch was removed,libcurl-internal resolver dependency,removed,CM-020,removed,"Release packaging no longer downloads or builds c-ares. libcurl is built without c-ares, and --dns-resolver is removed."
libuv,remove,Boost.Asio is the selected runtime and libuv would add a second event loop,optional event poll backend,removed,CM-018,removed,"Source files, generated config defines, feature reporting, and dependency references are removed."
wslay,remove,Boost.Beast owns WebSocket transport,vendored third-party WebSocket library,removed,CM-010,removed,"Vendored third_party/wslay, generated header setup, build target, and link ownership were removed in CM-010."
SQLite,remove,Browser cookie import was pruned when libcurl became the cookie owner,browser cookie parser dependency,removed,CM-008,removed,"SQLite source checks, generated config defines, source inventory, test inventory, feature reporting, README option, CI package, release workflow build steps, Docker release flags, and packaging dependency version source were removed."
CppUnit,retain-for-now,Existing test harness remains until a separate test framework decision is made,test dependency,test dependency,CM-019,selected,Do not mix test framework migration into this modernization goal.
jemalloc,retain-optional,Allocator option is orthogonal to protocol modernization,optional allocator,optional allocator,CM-018,not-release-owned,Allocator options remain local optional developer features and are not maintained release dependencies.
tcmalloc,retain-optional,Allocator option is orthogonal to protocol modernization,optional allocator,optional allocator,CM-018,not-release-owned,Allocator options remain local optional developer features and are not maintained release dependencies.
