id,status,domain,checkpoint,tracker,acceptance_summary,verification_summary,next_action
RA0,verified,foundation,Tracker reset and baseline,checkpoints/00-foundation.csv,"New tracker structure exists, old refactor tracker content is replaced, current code baseline is recorded, and docs/maintenance/README.md points to the new files.","git diff --check docs/maintenance; CSV consistency check for all ed2k-refactor CSV files","Start RA1 current implementation audit."
RA1,verified,foundation,Current implementation audit,checkpoints/00-foundation.csv,"Current ED2K modules, oversized ownership points, supported behavior, unsupported claims, and removable draft code are mapped before further refactor work.","Focused source inspection with rg/sed; overview source-inventory update; reference-ledger architecture row update; CSV consistency check.","Start RA2 authoritative reference map."
RA2,verified,foundation,Authoritative reference map,checkpoints/00-foundation.csv,"Every meaningful authoritative reference subsystem is mapped to port, adapt, replace, or prune before implementation checkpoints rely on it.","Focused reference inspection; overview reference-map update; reference-ledger scope review; CSV consistency check.","Start RA10 link and metadata alignment."
RA10,verified,links-metadata,Link and file identity alignment,checkpoints/10-links-metadata.csv,"File/server/serverlist/nodeslist/search links, safe names, source options, MD4, AICH, and modern file identity are aligned or explicitly pruned.","Focused reference comparison; aria2_tests parser and request-group coverage passed.","Start RA11 metadata file alignment."
RA11,verified,links-metadata,server.met nodes.dat and resume metadata,checkpoints/10-links-metadata.csv,"server.met, nodes.dat, session state, control-file replacement of part.met, AICH metadata, and hidden ED2K persistence formats are aligned with aria2-next ownership.","Focused reference comparison; aria2_tests parser and request-group coverage passed.","Start RA20 server TCP alignment."
RA20,verified,server,Server TCP and source discovery,checkpoints/20-server.csv,"Login, IDChange, HighID/LowID, GetSources variants, FoundSources variants, OBFU metadata, callback, status, message, server list, and search transport match non-pruned reference behavior.","Focused aMule/eMule/MLDonkey/Wireshark/protocol-doc comparison; cmake --build --preset default --target aria2_tests passed; build/default/aria2_tests passed with OK (1093); git diff --check passed.","Start RA21 server UDP alignment."
RA21,verified,server,Server UDP and callback alignment,checkpoints/20-server.csv,"UDP status, global source requests, packed source replies, UDP callback fail, callback constraints, retry, and state updates match non-pruned reference behavior.","Focused aMule/eMule/MLDonkey/Wireshark comparison; cmake --build --preset default --target aria2_tests passed; build/default/aria2_tests passed with OK (1093).","Start RA30 peer capability truth."
RA30,verified,peer,Peer hello and capability truth,checkpoints/30-peer.csv,"Hello, HelloAnswer, eMule info, misc options, large-file, Unicode, compression, SX, AICH, multipacket, file identifiers, crypt, secure-ident, Kad, and upload claims are truthful.","Focused aMule/eMule/Wireshark comparison; cmake --build --preset default --target aria2_tests passed; build/default/aria2_tests passed with OK (1094).","Start RA31 modern request flow."
RA31,verified,peer,Modern peer request flow,checkpoints/30-peer.csv,"Plain request filename, extended request metadata, set-request-file-id, file status, hashset, queue, start upload, AICH request, Source Exchange request, and no-file fallback are aligned. Multipacket and file-identifier request flows remain truthfully disabled because local capability bits are not advertised.","Focused aMule/eMule/Wireshark/protocol-doc comparison; current packet/state inspection; no code change required.","Start RA32 peer transfer control."
RA32,verified,peer,Peer transfer control and failure state,checkpoints/30-peer.csv,"Part requests, I64 part requests, normal parts, compressed parts, cancel, out-of-parts, no-file, disconnect, duplicate rejection, retry, requested-range cleanup, and backoff state are aligned.","Focused aMule/eMule transfer-state comparison; 32-bit request offset boundary test; cmake --build --preset default --target aria2_tests passed; build/default/aria2_tests passed with OK (1094).","Start RA40 transfer and integrity."
RA40,verified,transfer-integrity,Disk transfer and integrity alignment,checkpoints/40-transfer-integrity.csv,"Normal/I64/compressed parts, range validation, disk writes, MD4, AICH root/tree/recovery, corrupt retry, and safe resume use existing aria2-next paths.","Aligned ED2K theoretical hashset counts and exact-PARTSIZE hashset request behavior; cmake --build --preset default --target aria2_tests passed; build/default/aria2_tests passed with OK (1095); git diff --check passed.","Start RA50 source policy."
RA50,verified,discovery-policy,Source policy and Source Exchange,checkpoints/50-discovery-policy.csv,"Server, OBFU, inline, resume, SX1, SX2, SX2 v4, crypt metadata, direct callback metadata, dedupe, retry, queue rank, and endgame policy are aligned.","Aligned SX request opcode selection to remote capability truth and skipped require-crypt sources until encrypted transport exists; cmake --build --preset default --target aria2_tests passed; build/default/aria2_tests passed with OK (1095); git diff --check passed.","Start RA51 Kad alignment."
RA51,pending,discovery-policy,Kad alignment,checkpoints/50-discovery-policy.csv,"Classic Kad nodes.dat, bootstrap, hello, routing, traversal, source search, source publish, keyword search, firewalled checks, refresh, and durable state are aligned or pruned.","Focused Kad packet/state checks and local UDP simulation where useful.","Start RA60 sharing upload alignment."
RA60,pending,sharing-upload,Sharing upload and credits,checkpoints/60-sharing-upload.csv,"Completed/imported sharing, known-file metadata, upload queue, ranks, slots, limits, statistics, credits, and secure-ident limitations are aligned.","Focused shared-store/upload checks.","Start RA70 search RPC alignment."
RA70,pending,search-rpc-docs,Search RPC and Motrix fields,checkpoints/70-search-rpc-docs.csv,"Server/Kad search, result metadata, generated ED2K links, tellStatus ED2K fields, and Motrix Next integration fields are accurate and stable.","Focused RPC output checks.","Start RA71 documentation and final audit."
RA71,pending,search-rpc-docs,Documentation and final local audit,checkpoints/70-search-rpc-docs.csv,"Manual, RPC docs, completions, maintenance tracker, and limitations match behavior. Final local build/test/version verification passes.","cmake configure, build, ctest, version command, and documentation checks when affected.","Reference-alignment goal complete."
